perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
Chipmunk Zoologist Perfumes ,Zoologist Perfumes,for women and men,"woody,aromatic,nutty,earthy,fresh spicy,warm spicy","Chipmunk  by  Zoologist Perfumes  is a fragrance for women and men.  Chipmunk  was launched in 2021. The nose behind this fragrance is Pia Long. Top notes are Nutmeg, Cardamom, Quince, Pink Pepper and Blood Mandarin; middle notes are Hazelnut, Oak, Earthy Notes, Balsam Fir and Chamomile; base notes are Cedar, Guaiac Wood, Benzoin, Vetiver, Animal notes, Amyris, Patchouli and Opoponax. ","The lush green of the treetops fades to a dull gold. What seems a peaceful transition actually raises a blaring alarm to the creatures below. Time is running out. But for generations, mighty oaks have fulfilled a promise to provide, and leaves are not the only bounty tumbling to the forest floor. Chipmunks scurry among the detritus in their quest to collect the plumpest acorns. They eagerly gather what they can and, cheeks bulging with nuts, scamper home to line their snug burrows before falling leaves give way to biting snow. 
 Zoologist Chipmunk captures an autumn forest bursting with ripe nuts. Juicy quince, dusted with cardamom and nutmeg, dangles tantalizingly among naturalistic woods and green, milky kernels. Chipmunk invites you up into the branches, offering a dazzling vantage point from which to enjoy the rich golden and russet hues of the changing seasons. 
",Pia Long,"Nutmeg,Cardamom,Quince,Pink Pepper,Blood Mandarin","Hazelnut,Oak,Earthy Notes,Balsam Fir,Chamomile","Cedar,Guaiac Wood,Benzoin,Vetiver,Animal notes,Amyris,Patchouli,Opoponax",4.02,678,https://fimgs.net/mdimg/perfume/375x500.67998.jpg,https://fimgs.net/mdimg/dizajneri/m.2087.jpg
MÃ©nage Ã  Trois ZARKOPERFUME ,ZARKOPERFUME,for women and men,"musky,powdery,ozonic,aquatic",MÃ©nage Ã  Trois  by  ZARKOPERFUME  is a Aromatic fragrance for women and men.  MÃ©nage Ã  Trois  was launched in 2016. The nose behind this fragrance is Zarko Ahlmann Pavlov. ,"â€œMÃ©nage Ã  Trois is that most forbidden of love stories, where we take severe risks, indulge in absolute freedom, and succumb to a lawless maelstrom of passion and desire. 
 Composed of 3 major Musk molecules, one fractionated to fit into a compound, MÃ©nage Ã  Trois is at once intimate and exhilarating. 
 As a second skin, it races from innocence to deep intensity, yet always stopping short of overpoweringâ€ â€” press release of the brand.",Zarko Ahlmann Pavlov,"Musk,Watermelon",,,3.4,373,https://fimgs.net/mdimg/perfume/375x500.38353.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
MOLÃ©CULE No. 8 ZARKOPERFUME ,ZARKOPERFUME,for women and men,"woody,citrus,patchouli,oud",MOLÃ©CULE No. 8  by  ZARKOPERFUME  is a Woody Aromatic fragrance for women and men.  MOLÃ©CULE No. 8  was launched in 2015. ,"â€œMOLÃ©CULE No8 was born in a moment of clarity on an autumn beach, and developed over 14 months of refusing to ask what, why or how. 
 The mission was simple: To capture the essence of human innocence and beauty in a fragrance, whatever it took to get there. There was no roadmap. There were no rules. It was uncharted territory. 
 MOLÃ©CULE No8 contains ingredients, of course, but what itâ€™s really made from is the transformative power of a 5 oâ€™clock sunrise and hearing a child say I love youâ€ â€” press release of the brand.",,"Woody Notes,Mandarin Orange,Patchouli,Agarwood (Oud),Rose",,,3.66,542,https://fimgs.net/mdimg/perfume/375x500.30246.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
INCEPTION ZARKOPERFUME ,ZARKOPERFUME,for women and men,"marine,aromatic,green,citrus,woody,salty,aquatic,floral,fresh",INCEPTION  by  ZARKOPERFUME  is a fragrance for women and men.  INCEPTION  was launched in 2013. ,"â€œWith inspiration from the movie Inception, the composition in this fragrance moves through six phases, rather than the three phases typical of traditional perfumes. 
 The fragrance has been created much like a musician would have - the light tones first, then the deeper, providing full coverage of our feelings and senses. 
 Among the ingredients you will find a high quality mixture of all the scents that appeals to both man and womanâ€ â€” press release of the brand.",,"Sea Notes,Green Notes,Citruses,Woody Notes,Floral Notes,Spicy Notes",,,3.29,363,https://fimgs.net/mdimg/perfume/375x500.24805.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
eÂ´L ZARKOPERFUME ,ZARKOPERFUME,for women and men,"green,marine,aromatic,woody,white floral,musky,salty,aquatic","eÂ´L  by  ZARKOPERFUME  is a Floral Green fragrance for women and men.  eÂ´L  was launched in 2013. Top notes are White Flowers and Pomegranate; middle notes are Sea Notes, Green Notes and Green Tea; base notes are White Musk and White Woods. ","â€œThis perfume is composed for the self-conscious, luxurious woman, who find herself in the hustle and bustle of every day life. 
 A perfume that develops from Green Tea Absolute and Pomegranate. Not being a heavy perfume, the fragrance still retains deep sensual notes. 
 The scent is Nordic - discrete and freshâ€ â€” press release of the brand.",,"White Flowers,Pomegranate","Sea Notes,Green Notes,Green Tea","White Musk,White Woods",3.08,319,https://fimgs.net/mdimg/perfume/375x500.24807.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
Cloud Collection No 3 ZARKOPERFUME ,ZARKOPERFUME,for women and men,"fruity,sweet,ozonic,citrus,woody,fresh,powdery,musky,floral,sour","Cloud Collection No 3  by  ZARKOPERFUME  is a Floral Woody Musk fragrance for women and men.  Cloud Collection No 3  was launched in 2019. The nose behind this fragrance is Zarko Ahlmann Pavlov. Top notes are Red Berries, Mandarin Orange and Pear; middle notes are Ozonic notes, Magnolia, Tulip and Black Rose; base notes are White Musk, Sandalwood, White Wood, Madagascar Vanilla, Agarwood (Oud) and Soil Tincture. ",,Zarko Ahlmann Pavlov,"Red Berries,Mandarin Orange,Pear","Ozonic notes,Magnolia,Tulip,Black Rose","White Musk,Sandalwood,White Wood,Madagascar Vanilla,Agarwood (Oud),Soil Tincture",3.59,307,https://fimgs.net/mdimg/perfume/375x500.58962.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
Cloud Collection No 2 ZARKOPERFUME ,ZARKOPERFUME,for women and men,"citrus,aromatic,marine,fresh spicy,herbal,musky,salty,white floral,woody,aquatic","Cloud Collection No 2  by  ZARKOPERFUME  is a Floral Aquatic fragrance for women and men.  Cloud Collection No 2  was launched in 2018. The nose behind this fragrance is Zarko Ahlmann Pavlov. Top note is Lemongrass; middle note is Jasmine Leaf; base notes are Sea water, White Musk and Woody Notes. ","Cloud Collection NO. 2 is inspired by the ocean and imitates the fresh sea surface and the deeper ocean layers. Everything is slow motion underwater - no matter how fast you move in the water, it can not go fast. The fragrance is therefore slow to develop. It goes from being fresh intense to being deep and challenging. A complex and at the same time light scent.Â  
 Top notes: Japanese Lemongrass 
Hart: Jasmine leaves 
Base: White Musk, Deep Sea Accord and Light Woods 
 Cloud Collection NO. 2 is avaibale as a 100 ml EDP.",Zarko Ahlmann Pavlov,Lemongrass,Jasmine Leaf,"Sea water,White Musk,Woody Notes",3.8,250,https://fimgs.net/mdimg/perfume/375x500.51928.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
Zara Rose Zara ,Zara,for women,"floral,rose,fresh,green,musky","Zara Rose  by  Zara  is a Floral Green fragrance for women.  Zara Rose  was launched in 2017. Top notes are Green Notes and Black Currant; middle notes are Rose, Peony and Freesia; base notes are Musk and Sandalwood. ",,,"Green Notes,Black Currant","Rose,Peony,Freesia","Musk,Sandalwood",3.95,311,https://fimgs.net/mdimg/perfume/375x500.43684.jpg,https://fimgs.net/mdimg/dizajneri/m.642.jpg
Zara Oud Zara ,Zara,for women,"rose,oud,fruity,sweet,woody,leather,warm spicy,floral,vanilla","Zara Oud  by  Zara  is a Oriental Woody fragrance for women.  Zara Oud  was launched in 2014. Top notes are Raspberry and Saffron; middle notes are Rose, Palisander Rosewood and Iris; base notes are Agarwood (Oud), Vanilla, Woody Notes and Leather. ",,,"Raspberry,Saffron","Rose,Palisander Rosewood,Iris","Agarwood (Oud),Vanilla,Woody Notes,Leather",4.16,19,https://fimgs.net/mdimg/perfume/375x500.45772.jpg,https://fimgs.net/mdimg/dizajneri/m.642.jpg
Zara Homme Zara ,Zara,for men,"cinnamon,warm spicy,woody,musky,fresh spicy,powdery,citrus,animalic",Zara Homme  by  Zara  is a Aromatic Spicy fragrance for men. Top note is Grapefruit; middle notes are Cinnamon and Cumin; base notes are Cedar and Musk. ,,,Grapefruit,"Cinnamon,Cumin","Cedar,Musk",4.43,37,https://fimgs.net/mdimg/perfume/375x500.16608.jpg,https://fimgs.net/mdimg/dizajneri/m.642.jpg
Zara Night Pour Homme II Zara ,Zara,for men,"citrus,lavender,aromatic,amber,fresh spicy,woody",Zara Night Pour Homme II  by  Zara  is a Aromatic Fougere fragrance for men.  Zara Night Pour Homme II  was launched in 2017. Top notes are Bergamot and Lemon; middle note is Lavender; base notes are Amber and Cedar. ,,,"Bergamot,Lemon",Lavender,"Amber,Cedar",3.87,595,https://fimgs.net/mdimg/perfume/375x500.43906.jpg,https://fimgs.net/mdimg/dizajneri/m.642.jpg
Wonder Rose Zara ,Zara,for women,"fruity,powdery,sweet,vanilla,rose,fresh,violet,musky,sour,woody","Wonder Rose  by  Zara  is a Floral Woody Musk fragrance for women.  Wonder Rose  was launched in 2016. Top notes are Red Berries and Peach; middle notes are Rose, Violet and Cedar; base notes are Vanilla and Musk. ",,,"Red Berries,Peach","Rose,Violet,Cedar","Vanilla,Musk",3.89,189,https://fimgs.net/mdimg/perfume/375x500.42459.jpg,https://fimgs.net/mdimg/dizajneri/m.642.jpg
Oriental Zara ,Zara,for women,"caramel,vanilla,sweet,floral,powdery,balsamic,patchouli,musky,citrus,rose","Oriental  by  Zara  is a Oriental Floral fragrance for women. Top notes are Freesia, Bergamot and Rose; middle notes are Vanilla and Jasmine; base notes are Caramel, Patchouli and Musk. ",,,"Freesia,Bergamot,Rose","Vanilla,Jasmine","Caramel,Patchouli,Musk",3.93,"1,367",https://fimgs.net/mdimg/perfume/375x500.16574.jpg,https://fimgs.net/mdimg/dizajneri/m.642.jpg
Yvresse (Champagne) Yves Saint Laurent ,Yves Saint Laurent,for women,"fruity,powdery,sweet,warm spicy,amber,woody,earthy,floral,fresh,aromatic","Yvresse (Champagne)  by  Yves Saint Laurent  is a Chypre Fruity fragrance for women.  Yvresse (Champagne)  was launched in 1993. The nose behind this fragrance is Sophia Grojsman. Top notes are Peach, Nectarine, Apricot, Caraway, Anise and Mint; middle notes are Cinnamon, Litchi, Rose, Rose Oil, Carnation, Violet, Iris, Jasmine and Lily-of-the-Valley; base notes are Oakmoss, Amber, Benzoin, Vanilla, Patchouli, Styrax, Cedar, Musk, Coconut and Vetiver. ","Yvresse is a sparkly and dizzying fragrance. It was first named Champagne and was created in 1993. It is a fragrance suitable for all occasions and moods and absolutely meets the words of Napoleon: ""I drink Champagne when I win, to celebrate... and I drink Champagne when I lose, for solace."" This sharp floral-fruity fragrance is still not a classic chypre which demands time to open on the skin. Yvresse's composition sounds short enough, just like the full impact of Champagne: as soon as the brilliant top notes disappear, the scent wraps you with its warmth. The main notes are nectarine, anise, menthol, Otto rose, blue rose, litchi, oak moss, patchouli, vetiver. Yves Saint Laurent changed the name from Champagne to Yvresse because of lawsuits filed by French producers of the sparkling wine that originally bore the name. 
",Sophia Grojsman,"Peach,Nectarine,Apricot,Caraway,Anise,Mint","Cinnamon,Litchi,Rose,Rose Oil,Carnation,Violet,Iris,Jasmine,Lily-of-the-Valley","Oakmoss,Amber,Benzoin,Vanilla,Patchouli,Styrax,Cedar,Musk,Coconut,Vetiver",4.12,"2,419",https://fimgs.net/mdimg/perfume/375x500.101.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
This is Her Zadig & Voltaire ,Zadig & Voltaire,for women,"vanilla,sweet,woody,balsamic,powdery,lactonic,warm spicy,soft spicy,musky","This is Her  by  Zadig & Voltaire  is a Oriental Vanilla fragrance for women.  This is Her  was launched in 2016. This is Her was created by Sidonie Lancesseur and Michel Almairac. Top notes are Pink Pepper, Silkwood Blossom and Jasmine Sambac; middle notes are Whipped Cream, Vanilla and Chestnut; base notes are Sandalwood and Cashmere Wood. ","The French fashion house Zadig & Voltaire, which fosters casual, boho and rock styles with a significant dash of cool elegance, presents its new fragrant pair in September 2016 announced with the slogan ""This is Zadig!"". The perfume pair consists of a feminine and a masculine edition: This is Her! and This is Him!. The perfumes are created in cooperation with the company Beaute Prestige International (BPI). 
  Cecilia BÃ¶nstrÃ¶m, artistic director of Zadig & Voltaire, said to wwd that the idea was to break from what already existed on the market and â€œto find a balance of something really clean and something darker, more mysterious.â€ 
 The woody, floral and gourmand This is Her, signed by perfumer duo Sidonie Lancesseur and Michel Almairac, contains notes of pink pepper, Sambac jasmine, milky chestnut cream, vanilla and sandalwood. It is available as a 50 ml Eau de Parfum. 
 The bottles have a simple design with cracked edges, white for her for and black for him. The precious materials, with sandalwood as a signature, and the cool design try to offer something new in accordance with the edgy image of the brand.","Michel Almairac,Sidonie Lancesseur","Pink Pepper,Silkwood Blossom,Jasmine Sambac","Whipped Cream,Vanilla,Chestnut","Sandalwood,Cashmere Wood",4,"8,151",https://fimgs.net/mdimg/perfume/375x500.39358.jpg,https://fimgs.net/mdimg/dizajneri/m.1289.jpg
Girls Can Do Anything Zadig & Voltaire ,Zadig & Voltaire,for women,"vanilla,sweet,aromatic,warm spicy,musky,fruity,amber,citrus,powdery,white floral","Girls Can Do Anything  by  Zadig & Voltaire  is a Oriental Fougere fragrance for women.  Girls Can Do Anything  was launched in 2018. The nose behind this fragrance is Quentin Bisch. Top notes are Pear, Tangerine, Bergamot and Orange Blossom; middle notes are Tonka Bean and Tuberose; base notes are Vanilla, Fern, Musk, Clove, Ambroxan and Patchouli. ","Zadig & Voltaire launches its new fragrance Girls Can Do Anything. It symbolizes liberation from norms and a new form of femininity: free, uninhibited and impertinent. 
 The olfactory signature is conceived as a daring ode to liberation and as ""the first feminine fougere"". 
 Top notes: bergamot, pear, orange blossom 
Heart: tonka bean 
Base: vanilla, fern, musk, ambroxan 
 Zadig & Voltaire Girls Can Do Anything is available as a 30, 50 and 90 ml Eau de Parfum.",Quentin Bisch,"Pear,Tangerine,Bergamot,Orange Blossom","Tonka Bean,Tuberose","Vanilla,Fern,Musk,Clove,Ambroxan,Patchouli",3.65,"1,233",https://fimgs.net/mdimg/perfume/375x500.51198.jpg,https://fimgs.net/mdimg/dizajneri/m.1289.jpg
Y Live Yves Saint Laurent ,Yves Saint Laurent,for men,"aromatic,citrus,fresh spicy,white floral,warm spicy,herbal,woody,fresh,soft spicy",Y Live  by  Yves Saint Laurent  is a Aromatic Spicy fragrance for men.  Y Live  was launched in 2019. Top note is Orange Blossom; middle notes are Ginger and Bergamot; base notes are Juniper and Sage. ,,,Orange Blossom,"Ginger,Bergamot","Juniper,Sage",4.06,849,https://fimgs.net/mdimg/perfume/375x500.55810.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
